"nest","sex","bout_start","bout_length","inc_eff","lat","lon"
"S101","f","2011-06-17 09:55",896.083,0.977867,71.3298,-156.642
"S101","f","2011-06-18 12:25",858,0.957945,71.3298,-156.642
"S101","f","2011-06-19 14:37",833.333,0.9499,71.3298,-156.642
"S101","f","2011-06-20 16:36",793.75,0.988976,71.3298,-156.642
"S101","f","2011-06-21 21:02",799.333,0.949646,71.3298,-156.642
"S101","f","2011-06-22 22:58",746.917,0.972777,71.3298,-156.642
"S101","m","2011-06-16 23:16",639,0.957225,71.3298,-156.642
"S101","m","2011-06-18 00:51",693.833,0.826808,71.3298,-156.642
"S101","m","2011-06-19 02:43",712.417,0.925956,71.3298,-156.642
"S101","m","2011-06-20 04:30",725.917,0.927678,71.3298,-156.642
"S101","m","2011-06-21 05:50",911.417,0.936911,71.3298,-156.642
"S101","m","2011-06-22 10:22",755.417,0.890789,71.3298,-156.642
"S101","m","2011-06-23 11:25",712.833,0.935936,71.3298,-156.642
"S204","f","2011-06-08 23:57",142.917,0.88863,71.3183,-156.651
"S204","f","2011-06-09 04:54",519.083,0.886178,71.3183,-156.651
"S204","f","2011-06-10 00:40",556.917,0.930121,71.3183,-156.651
"S204","f","2011-06-10 19:26",499.333,0.939252,71.3183,-156.651
"S204","f","2011-06-11 12:05",690.583,0.951611,71.3183,-156.651
"S204","f","2011-06-12 14:36",612.167,0.957256,71.3183,-156.651
"S204","f","2011-06-13 10:27",660.583,0.95673,71.3183,-156.651
"S204","f","2011-06-14 06:33",493.833,0.969963,71.3183,-156.651
"S204","f","2011-06-14 23:45",574.5,0.926023,71.3183,-156.651
"S204","f","2011-06-15 19:43",688.25,0.929895,71.3183,-156.651
"S204","m","2011-06-08 15:31",505.917,0.424971,71.3183,-156.651
"S204","m","2011-06-09 02:20",153.917,0.844613,71.3183,-156.651
"S204","m","2011-06-09 13:33",665.833,0.696871,71.3183,-156.651
"S204","m","2011-06-10 09:57",563.583,0.890729,71.3183,-156.651
"S204","m","2011-06-11 03:46",499.333,0.960948,71.3183,-156.651
"S204","m","2011-06-11 23:36",899.833,0.955733,71.3183,-156.651
"S204","m","2011-06-13 00:49",577.583,0.966094,71.3183,-156.651
"S204","m","2011-06-13 21:28",545.083,0.942975,71.3183,-156.651
"S204","m","2011-06-14 14:47",536.917,0.970355,71.3183,-156.651
"S204","m","2011-06-15 09:20",622.5,0.984739,71.3183,-156.651
"S205","m","2011-06-08 00:29",825.083,0.960711,71.3221,-156.663
"S205","m","2011-06-08 21:45",338.833,0.942204,71.3221,-156.663
"S205","m","2011-06-09 11:08",513.75,0.954258,71.3221,-156.663
"S205","m","2011-06-10 04:19",411.417,0.97144,71.3221,-156.663
"S205","m","2011-06-10 18:47",425.833,0.969667,71.3221,-156.663
"S205","m","2011-06-11 11:29",557.083,0.929245,71.3221,-156.663
"S205","m","2011-06-12 06:57",547.167,0.975937,71.3221,-156.663
"S205","m","2011-06-13 04:08",532.167,0.935484,71.3221,-156.663
